# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  1 -24.0223 603.89 455.994
  2 -21.4936 620.82 450.036
  3 -18.965 624.28 460.786
  4 -16.4363 621 459.641
  5 -13.9076 597 458.498
  6 -11.379 623.12 447.158
  7 -8.85032 591.05 448.412
  8 -6.32165 633.6 449.986
  9 -3.79299 602.7 444.653
  10 -1.26433 602.01 438.832
  11 1.26433 603.71 443.067
  12 3.79299 626.6 452.091
  13 6.32165 631.2 449.867
  14 8.85032 629.13 451.923
  15 11.379 604.33 443.901
  16 13.9076 620.99 438.343
  17 16.4363 597.67 443.088
  18 18.965 647.4 446.275
  19 21.4936 582.55 448.141
  20 24.0223 648.95 449.593
2000 20 12312
  1 -24.0223 615.63 441.55
  2 -21.4936 646.43 447.468
  3 -18.965 606.12 451.711
  4 -16.4363 611.99 446.251
  5 -13.9076 595.87 458.976
  6 -11.379 608.44 456.372
  7 -8.85032 600.91 445.619
  8 -6.32165 629.25 439.78
  9 -3.79299 608.26 450.265
  10 -1.26433 603.68 448.396
  11 1.26433 614.7 450.956
  12 3.79299 619.17 454.791
  13 6.32165 642.1 451.811
  14 8.85032 612.47 446.489
  15 11.379 593.13 451.065
  16 13.9076 624.2 446.354
  17 16.4363 599.52 449.319
  18 18.965 640.32 459.965
  19 21.4936 592.4 447.109
  20 24.0223 647.41 439.483
3000 20 12312
  1 -24.0223 626.11 432.532
  2 -21.4936 640.47 444.668
  3 -18.965 609.37 449.638
  4 -16.4363 618.29 449.953
  5 -13.9076 589.15 454.43
  6 -11.379 622.34 461.096
  7 -8.85032 608.07 451.023
  8 -6.32165 605.02 441.718
  9 -3.79299 607.96 445.468
  10 -1.26433 602.63 456.018
  11 1.26433 616.07 450.802
  12 3.79299 610.43 459.171
  13 6.32165 638.38 448.504
  14 8.85032 621.74 448.437
  15 11.379 594.8 444.205
  16 13.9076 624.79 442.079
  17 16.4363 587.4 450.854
  18 18.965 658.1 445.934
  19 21.4936 582.94 443.026
  20 24.0223 647.94 440.979
4000 20 12311.999999999998
  1 -24.0223 621.48 436.996
  2 -21.4936 644.55 443.821
  3 -18.965 606.54 449.124
  4 -16.4363 624.72 449.729
  5 -13.9076 574.92 452.87
  6 -11.379 613.58 454.189
  7 -8.85032 607.95 448.275
  8 -6.32165 611.15 447.777
  9 -3.79299 620.56 449.563
  10 -1.26433 585.35 469.277
  11 1.26433 617.84 458.951
  12 3.79299 618.26 459.326
  13 6.32165 637.61 447.449
  14 8.85032 616.61 446.2
  15 11.379 612.47 443.252
  16 13.9076 615.41 450.744
  17 16.4363 604.26 453.234
  18 18.965 651.29 451.276
  19 21.4936 579.9 440.873
  20 24.0223 647.55 440.235
5000 20 12312.000000000002
  1 -24.0223 608.57 435.366
  2 -21.4936 637.92 447.421
  3 -18.965 610.84 454.907
  4 -16.4363 629.51 453.861
  5 -13.9076 596.87 450.692
  6 -11.379 602.31 453.063
  7 -8.85032 600.86 461.635
  8 -6.32165 622.96 449.198
  9 -3.79299 623.58 464.484
  10 -1.26433 600.55 460.368
  11 1.26433 618.16 461.481
  12 3.79299 626.03 462.57
  13 6.32165 628.47 452.096
  14 8.85032 621.8 443.814
  15 11.379 611.12 442.22
  16 13.9076 622.27 449.103
  17 16.4363 598.92 449.465
  18 18.965 642.27 446.075
  19 21.4936 569.13 435.537
  20 24.0223 639.86 434.862
6000 20 12312.000000000002
  1 -24.0223 611.01 434.114
  2 -21.4936 624.92 438.964
  3 -18.965 604.69 449.321
  4 -16.4363 615.2 456.307
  5 -13.9076 599.76 452.871
  6 -11.379 615.08 451.973
  7 -8.85032 588.94 448.763
  8 -6.32165 615.16 454.672
  9 -3.79299 610.84 454.948
  10 -1.26433 600.38 456.247
  11 1.26433 619.12 459.394
  12 3.79299 647.29 460.039
  13 6.32165 610.01 462.287
  14 8.85032 627.28 451.126
  15 11.379 608.19 445.243
  16 13.9076 631.41 441.083
  17 16.4363 601.28 451.072
  18 18.965 651.68 443.412
  19 21.4936 575.04 441.524
  20 24.0223 654.72 442.83
7000 20 12312
  1 -24.0223 604.8 442.341
  2 -21.4936 634.62 435.545
  3 -18.965 609.79 441.432
  4 -16.4363 610.06 446.225
  5 -13.9076 588.25 453.123
  6 -11.379 613.54 451.041
  7 -8.85032 592.43 452.53
  8 -6.32165 619.93 450.235
  9 -3.79299 615.55 454.744
  10 -1.26433 607.83 463.426
  11 1.26433 623.57 459.477
  12 3.79299 620.01 461.383
  13 6.32165 614.53 464.013
  14 8.85032 639.35 447.33
  15 11.379 593.56 444.705
  16 13.9076 622.15 445.734
  17 16.4363 596.53 439.998
  18 18.965 661.1 445.752
  19 21.4936 589.8 446.039
  20 24.0223 654.6 441.785
8000 20 12312
  1 -24.0223 619.42 443.579
  2 -21.4936 634.47 438.368
  3 -18.965 606.28 449.667
  4 -16.4363 601.44 442.995
