# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  1 -22.8873 612.25 443.964
  2 -20.4781 610.62 449.937
  3 -18.0689 580.33 450.683
  4 -15.6597 633.41 449.289
  5 -13.2505 646.24 446.841
  6 -10.8414 646.81 460.043
  7 -8.43217 611.67 448.81
  8 -6.02298 601.77 449.474
  9 -3.61379 629.55 446.628
  10 -1.2046 593.45 453.384
  11 1.2046 643.9 446.754
  12 3.61379 598.12 453.42
  13 6.02298 611.77 448.937
  14 8.43217 597.94 441.721
  15 10.8414 624.26 453.558
  16 13.2505 627.89 445.43
  17 15.6597 597.82 442.212
  18 18.0689 635.38 447.849
  19 20.4781 602.7 458.389
  20 22.8873 606.12 445.362
  21 25.2965 0 0
2000 21 12311.999999999998
  1 -22.8873 606.59 439.316
  2 -20.4781 592.85 442.873
  3 -18.0689 566.36 447.924
  4 -15.6597 666.73 456.434
  5 -13.2505 638.09 452.766
  6 -10.8414 625.26 461.787
  7 -8.43217 609.17 444.45
  8 -6.02298 614.99 452.545
  9 -3.61379 617.05 457.146
  10 -1.2046 581.71 457.628
  11 1.2046 657.68 452.589
  12 3.61379 591.11 444.292
  13 6.02298 608.12 444.469
  14 8.43217 656.13 447.298
  15 10.8414 614.26 452.241
  16 13.2505 600.07 447.731
  17 15.6597 623.05 445.875
  18 18.0689 633.24 443.376
  19 20.4781 598.82 447.87
  20 22.8873 610.72 454.308
  21 25.2965 0 0
3000 21 12312.000000000002
  1 -22.8873 611.19 435.939
  2 -20.4781 610.86 440.04
  3 -18.0689 588.27 451.488
  4 -15.6597 669.81 454.784
  5 -13.2505 598.31 451.322
  6 -10.8414 636.78 449.457
  7 -8.43217 634.32 450.342
  8 -6.02298 600.18 445.236
  9 -3.61379 609.23 457.304
  10 -1.2046 562.77 462.377
  11 1.2046 641.49 463.498
  12 3.61379 601.21 451.428
  13 6.02298 614.17 436.803
  14 8.43217 663.26 441.233
  15 10.8414 599.24 455.276
  16 13.2505 601.29 447.358
  17 15.6597 660.51 450.01
  18 18.0689 620.03 438.612
  19 20.4781 588.84 445.882
  20 22.8873 600.24 450.913
  21 25.2965 0 0
4000 21 12312
  1 -22.8873 606.79 442.873
  2 -20.4781 620.91 450.821
  3 -18.0689 583.62 456.927
  4 -15.6597 651.83 450.463
  5 -13.2505 620.2 453.354
  6 -10.8414 627.52 449.275
  7 -8.43217 648.37 449.401
  8 -6.02298 595.95 458.097
  9 -3.61379 618.26 454.063
  10 -1.2046 588.16 454.99
  11 1.2046 633.55 460.032
  12 3.61379 595.84 451.218
  13 6.02298 614.38 437.456
  14 8.43217 637.75 443.21
  15 10.8414 594.99 450.255
  16 13.2505 589.88 445.921
  17 15.6597 653.35 452.459
  18 18.0689 602.81 440.801
  19 20.4781 598.93 459.101
  20 22.8873 628.91 447.142
  21 25.2965 0 0
5000 21 12312
  1 -22.8873 636.41 433.325
  2 -20.4781 582.62 452.756
  3 -18.0689 619.66 451.89
  4 -15.6597 636.93 447.856
  5 -13.2505 602.97 447.152
  6 -10.8414 635.45 453.561
  7 -8.43217 621.14 451.564
  8 -6.02298 602.2 459.984
  9 -3.61379 593.82 454.157
  10 -1.2046 607.28 455.691
  11 1.2046 612.47 461.374
  12 3.61379 600.47 458.954
  13 6.02298 626.67 442.739
  14 8.43217 628.7 441.298
  15 10.8414 601.82 449.973
  16 13.2505 610 448.075
  17 15.6597 657.78 444.174
  18 18.0689 591.29 447.706
  19 20.4781 634.6 451.31
  20 22.8873 609.72 445.962
  21 25.2965 0 0
6000 21 12312.000000000002
  1 -22.8873 608.27 430.833
  2 -20.4781 625.6 444.813
  3 -18.0689 627.44 443.834
  4 -15.6597 653.72 447.186
  5 -13.2505 617.05 452.833
  6 -10.8414 631.53 447.568
  7 -8.43217 644.1 451.544
  8 -6.02298 597.73 460.555
  9 -3.61379 582.72 450.478
  10 -1.2046 609.62 454.323
  11 1.2046 608.82 464.931
  12 3.61379 587.09 462.706
  13 6.02298 612.84 449.709
  14 8.43217 642.01 448.429
  15 10.8414 589.69 459.872
  16 13.2505 598.04 440.564
  17 15.6597 650.35 440.027
  18 18.0689 608.53 451.064
  19 20.4781 600.99 446.859
  20 22.8873 615.86 438.333
  21 25.2965 0 0
7000 21 12312
  1 -22.8873 632.62 438.801
  2 -20.4781 607.2 440.732
  3 -18.0689 627.92 436.885
  4 -15.6597 656.93 449.861
  5 -13.2505 605.26 451.579
  6 -10.8414 626.41 442.505
  7 -8.43217 637.93 457.386
  8 -6.02298 615.29 464.668
  9 -3.61379 583.94 453.452
  10 -1.2046 595 456.753
  11 1.2046 630.17 460.662
  12 3.61379 597.78 460.184
  13 6.02298 611.28 452.656
  14 8.43217 646.83 445.255
  15 10.8414 601.88 453.321
  16 13.2505 574.72 446.807
  17 15.6597 636.43 441.878
  18 18.0689 628.19 449.656
  19 20.4781 597.44 443.332
  20 22.8873 598.78 446.326
  21 25.2965 0 0
8000 21 12312
  1 -22.8873 616.79 436.882
  2 -20.4781 597.78 443.519
  3 -18.0689 616.73 446.6
  4 -15.6597 650.31 441.372
  5 -13.2505 607.4 450.865
  6 -10.8414 623.19 451.537
  7 -8.43217 611.98 447.109
  8 -6.02298 642.53 463.385
  9 -3.61379 589.41 462.047
  10 -1.2046 603.49 454.813
  11 1.2046 644.89 458.774
  12 3.61379 605.2 461.59
  13 6.02298 614.08 459.311
  14 8.43217 625.1 446.113
