# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  1 19.1038 915.4 478.183
  2 21.5565 925.97 495.508
  3 24.0091 421.02 496.829
  4 26.4617 937.58 452.674
  5 28.9143 366.96 441.03
  6 31.367 769.38 435.424
  7 33.8196 424.62 434.605
  8 36.2722 670.48 431.396
  9 38.7249 458.23 435.143
  10 41.1775 653.61 439.462
  11 43.6301 490.7 448.214
  12 46.0827 584.27 445.388
  13 48.5354 598 431.808
  14 50.988 537.56 423.302
  15 53.4406 658.6 435.96
  16 55.8933 436.77 439.718
  17 58.3459 734.86 443.09
  18 60.7985 360.75 434.823
  19 63.2511 968.57 442.084
  20 65.7038 398.67 477.669
2000 20 12312.000000000004
  1 19.1038 945.14 467.606
  2 21.5565 880.69 486.833
  3 24.0091 450.01 487.836
  4 26.4617 917.45 452.165
  5 28.9143 381.8 441.929
  6 31.367 767.01 439.597
  7 33.8196 410.86 429.948
  8 36.2722 678.08 432.361
  9 38.7249 490.43 438.833
  10 41.1775 631.1 447.133
  11 43.6301 513.96 455.993
  12 46.0827 573.77 449.712
  13 48.5354 600.9 436.797
  14 50.988 539.68 435.798
  15 53.4406 656.7 442.155
  16 55.8933 430.78 447.11
  17 58.3459 727 445.693
  18 60.7985 364.45 431.354
  19 63.2511 955.52 439.948
  20 65.7038 396.67 472.801
3000 20 12312.000000000002
  1 19.1038 974.73 458.565
  2 21.5565 954.12 476.87
  3 24.0091 422.24 488.625
  4 26.4617 932.24 451.584
  5 28.9143 386.95 435.11
  6 31.367 743.82 438.047
  7 33.8196 437.39 444.931
  8 36.2722 645.53 435.242
  9 38.7249 521.76 433.572
  10 41.1775 606.83 451.182
  11 43.6301 522.6 456.56
  12 46.0827 565.6 453.939
  13 48.5354 606.24 438.182
  14 50.988 527.17 439.185
  15 53.4406 651.95 439.164
  16 55.8933 445.25 456.445
  17 58.3459 709.54 438.42
  18 60.7985 357.5 432.824
  19 63.2511 974.65 438.486
  20 65.7038 325.89 450.737
4000 20 12311.999999999998
  1 19.1038 987.7 448.405
  2 21.5565 952.57 474.503
  3 24.0091 379.33 490.096
  4 26.4617 933.59 455.869
  5 28.9143 364.54 439.787
  6 31.367 735.59 437.707
  7 33.8196 459.77 438.74
  8 36.2722 627.7 440.331
  9 38.7249 533.15 438.375
  10 41.1775 612.63 456.166
  11 43.6301 521.81 459.498
  12 46.0827 563.61 453.603
  13 48.5354 580.23 445.242
  14 50.988 552.75 446.013
  15 53.4406 644.06 444.651
  16 55.8933 463.11 446.632
  17 58.3459 715.59 444.487
  18 60.7985 351.88 429.167
  19 63.2511 984.08 445.115
  20 65.7038 348.31 437.332
5000 20 12312
  1 19.1038 959.43 445.313
  2 21.5565 914.44 468.781
  3 24.0091 429.3 481.894
  4 26.4617 921.6 452.373
  5 28.9143 361.45 445.759
  6 31.367 746.96 439.186
  7 33.8196 442.7 436.963
  8 36.2722 673.4 452.544
  9 38.7249 499.43 459.226
  10 41.1775 633.94 453.247
  11 43.6301 502.52 461.161
  12 46.0827 566.84 462.933
  13 48.5354 578.12 453.587
  14 50.988 546.47 449.907
  15 53.4406 641.25 447.129
  16 55.8933 470.57 448.816
  17 58.3459 717.03 441.863
  18 60.7985 360.01 428.63
  19 63.2511 973.05 436.321
  20 65.7038 373.49 448.025
6000 20 12312
  1 19.1038 979.76 438.944
  2 21.5565 925.97 466.35
  3 24.0091 469.46 468.505
  4 26.4617 919.51 445.434
  5 28.9143 367.69 428.452
  6 31.367 765.56 440.942
  7 33.8196 432.87 441.808
  8 36.2722 683.74 460.419
  9 38.7249 485.5 454.756
  10 41.1775 634.53 449.163
  11 43.6301 536.18 454.99
  12 46.0827 539.29 464.266
  13 48.5354 587.47 455.539
  14 50.988 525.43 457.014
  15 53.4406 648.05 449.962
  16 55.8933 461.28 433.651
  17 58.3459 706.5 441.963
  18 60.7985 344.84 420.913
  19 63.2511 981.92 435.506
  20 65.7038 316.45 434.742
7000 20 12312
  1 19.1038 954.91 437.763
  2 21.5565 966.64 462.704
  3 24.0091 428.24 470.339
  4 26.4617 934.6 444.042
  5 28.9143 358.91 442.409
  6 31.367 770.16 448.742
  7 33.8196 441.77 444.666
  8 36.2722 658.72 459.118
  9 38.7249 511.34 452.885
  10 41.1775 583.76 455.777
  11 43.6301 553.09 476.516
  12 46.0827 554.77 471.995
  13 48.5354 592.73 458.994
  14 50.988 528.58 445.915
  15 53.4406 628.78 448.759
  16 55.8933 457.15 444.026
  17 58.3459 720.08 446.147
  18 60.7985 359.04 433.914
  19 63.2511 978.15 441.173
  20 65.7038 330.58 431.376
8000 20 12312
  1 19.1038 971.1 432.311
  2 21.5565 967.93 458.661
  3 24.0091 397.07 468.835
  4 26.4617 945.93 437.655
  5 28.9143 360.28 449.667
  6 31.367 763.32 451.001
  7 33.8196 433.24 442.826
  8 36.2722 661.2 451.243
  9 38.7249 508.82 464.454
  10 41.1775 594.61 473.997
  11 43.6301 537.81 479.152
  12 46.0827 554 472.975
  13 48.5354 572.16 459.362
  14 50.988 533.81 453.518
  15 53.4406 614.26 444.563
  16 55.8933 477.2 443.515
  17 58.3459 729.62 438.329
  18 60.7985 370.29 433.04
  19 63.2511 979.26 444.283
  20 65.7038 340.09 424.503
9000 20 12312
  1 19.1038 969.43 431.404
  2 21.5565 940.86 460.917
  3 24.0091 413.82 461.702
  4 26.4617 942.2 434.086
  5 28.9143 363.93 449.732
  6 31.367 778.56 454.952
  7 33.8196 407.08 435.713
  8 36.2722 657.76 454.636
  9 38.7249 507.23 465.661
  10 41.1775 612.22 486.821
  11 43.6301 520.26 493.689
  12 46.0827 563.8 479.838
  13 48.5354 565.76 469.546
  14 50.988 560.99 451.626
  15 53.4406 619.57 445.714
  16 55.8933 475.74 452.159
  17 58.3459 723.42 433.65
  18 60.7985 381.81 430.359
  19 63.2511 966.08 444.404
  20 65.7038 341.48 416.456
10000 20 12311.999999999998
  1 19.1038 968.29 425.493
  2 21.5565 968.11 454.885
  3 24.0091 384.09 463.326
  4 26.4617 951.37 427.917
  5 28.9143 347.63 451.889
  6 31.367 781.1 455.258
  7 33.8196 413.28 439.593
  8 36.2722 663.87 453.403
  9 38.7249 488.03 472.789
  10 41.1775 626.46 478.29
  11 43.6301 517.63 494.634
  12 46.0827 570.15 481.208
  13 48.5354 569.49 465.153
  14 50.988 555.39 444.921
  15 53.4406 615.31 447.022
  16 55.8933 461.81 438.095
  17 58.3459 736.19 435.33
  18 60.7985 370.84 437.175
  19 63.2511 976.39 444.367
  20 65.7038 346.57 410.828
11000 20 12311.999999999998
  1 19.1038 986.67 424.298
  2 21.5565 975.58 444.961
  3 24.0091 336.67 457.233
  4 26.4617 961.37 432.2
  5 28.9143 348.75 436.522
  6 31.367 776.53 448.774
  7 33.8196 413.91 451.49
  8 36.2722 634.73 464.313
  9 38.7249 504.69 474.177
  10 41.1775 619.73 478.462
  11 43.6301 521.84 488.668
  12 46.0827 562.45 485.496
  13 48.5354 587.87 464.711
  14 50.988 552.89 446.581
  15 53.4406 614.86 444.397
  16 55.8933 454.99 442.201
  17 58.3459 739.09 429.603
  18 60.7985 383.48 434.376
  19 63.2511 961.65 442.01
  20 65.7038 374.25 418.679
12000 20 12311.999999999996
  1 19.1038 993.35 412.057
  2 21.5565 1025.44 442.863
  3 24.0091 389.34 463.424
  4 26.4617 963.69 432.107
  5 28.9143 359.39 441.75
  6 31.367 774.28 450.832
  7 33.8196 422.48 465.269
  8 36.2722 637.31 467.893
  9 38.7249 518.58 477.011
  10 41.1775 594.58 481.117
  11 43.6301 517.53 496.444
  12 46.0827 574.03 486.015
  13 48.5354 586.59 453.482
  14 50.988 558.82 457.56
  15 53.4406 614.93 445.122
  16 55.8933 440.55 441.772
  17 58.3459 726.15 434.176
  18 60.7985 353.42 435.61
  19 63.2511 997.54 441.47
  20 65.7038 264 408.687
13000 20 12312
  1 19.1038 954.44 414.502
  2 21.5565 975.7 436.321
  3 24.0091 459 464.36
  4 26.4617 924.01 435.045
  5 28.9143 375.69 442.121
  6 31.367 772.95 452.988
  7 33.8196 444.18 456.942
  8 36.2722 642.11 461.931
  9 38.7249 507.38 457.096
  10 41.1775 618.66 488.824
  11 43.6301 530.5 494.506
