# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  1 -24.0223 613.34 431.208
  2 -21.4936 622.92 435.955
  3 -18.965 611.36 436.677
  4 -16.4363 630.22 440.228
  5 -13.9076 610.33 441.018
  6 -11.379 640.58 442.847
  7 -8.85032 611.67 453.093
  8 -6.32165 579.81 453.913
  9 -3.79299 611.77 457.708
  10 -1.26433 595.1 473.139
  11 1.26433 604.28 481.381
  12 3.79299 643.76 462.919
  13 6.32165 611.74 455.173
  14 8.85032 637.73 459.718
  15 11.379 583.47 460.273
  16 13.9076 607.57 452.048
  17 16.4363 623.93 457.728
  18 18.965 645.44 441.783
  19 21.4936 611.25 444.449
  20 24.0223 615.73 437.434
2000 20 12312
  1 -24.0223 618.32 427.723
  2 -21.4936 626.65 427.45
  3 -18.965 629.04 437.202
  4 -16.4363 628.71 432.122
  5 -13.9076 601.21 442.655
  6 -11.379 631.41 446.905
  7 -8.85032 591.68 448.238
  8 -6.32165 594.83 456.816
  9 -3.79299 594.19 470.119
  10 -1.26433 618.98 468.91
  11 1.26433 590.68 479.74
  12 3.79299 632.34 463.348
  13 6.32165 601.25 457.433
  14 8.85032 634.19 453.15
  15 11.379 593.32 456.009
  16 13.9076 610.98 457.166
  17 16.4363 617.83 453.188
  18 18.965 643.9 448.024
  19 21.4936 610.81 446.326
  20 24.0223 641.68 438.556
3000 20 12312.000000000002
  1 -24.0223 619.6 425.6
  2 -21.4936 608.46 425.922
  3 -18.965 628.63 432.009
  4 -16.4363 634.78 438.192
  5 -13.9076 608.33 438.829
  6 -11.379 622.92 449.193
  7 -8.85032 603.65 448.019
  8 -6.32165 614.51 460.082
  9 -3.79299 573.39 466.644
  10 -1.26433 623.26 479.979
  11 1.26433 580.75 482.104
  12 3.79299 641.21 465.282
  13 6.32165 597.05 458.252
  14 8.85032 628.85 456.708
  15 11.379 586.57 460.131
  16 13.9076 638.68 455.946
  17 16.4363 611.33 453.474
  18 18.965 646.33 446.601
  19 21.4936 618.69 445.122
  20 24.0223 625.01 432.639
4000 20 12312
  1 -24.0223 629.75 433.542
  2 -21.4936 621.39 436.514
  3 -18.965 627.83 436.452
  4 -16.4363 642.64 427.656
  5 -13.9076 594.51 442.851
  6 -11.379 643.08 441.562
  7 -8.85032 612.07 444.769
  8 -6.32165 602.8 460.396
  9 -3.79299 578.37 456.76
  10 -1.26433 621.72 475.241
  11 1.26433 601.29 473.941
  12 3.79299 628.19 465.849
  13 6.32165 624.88 463.599
  14 8.85032 601.05 459.663
  15 11.379 601.01 454.944
  16 13.9076 613.56 446.546
  17 16.4363 600.18 447.277
  18 18.965 624.59 446.469
  19 21.4936 628 439.732
  20 24.0223 615.09 440.945
5000 20 12311.999999999996
  1 -24.0223 627.62 432.308
  2 -21.4936 628.28 434.701
  3 -18.965 634.74 433.466
  4 -16.4363 623.67 442.016
  5 -13.9076 611.54 436.161
  6 -11.379 645.35 435.929
  7 -8.85032 616.63 444.598
  8 -6.32165 606.53 461.894
  9 -3.79299 600.59 464.523
  10 -1.26433 606.35 479.724
  11 1.26433 597.9 480.258
  12 3.79299 624.51 465.8
  13 6.32165 612.37 467.817
  14 8.85032 607.39 460.339
  15 11.379 589.6 447.419
  16 13.9076 613.21 442.877
  17 16.4363 595.3 446.486
  18 18.965 628.38 434.984
  19 21.4936 627.38 440.993
  20 24.0223 614.66 441.379
6000 20 12312
  1 -24.0223 638.56 429.831
  2 -21.4936 624.84 431.988
  3 -18.965 635.46 427.828
  4 -16.4363 620.09 434.564
  5 -13.9076 586.89 437.546
  6 -11.379 629.05 434.883
  7 -8.85032 606.59 446.142
  8 -6.32165 589.93 446.835
  9 -3.79299 588.79 457.716
  10 -1.26433 617.57 473.89
  11 1.26433 596.08 484.083
  12 3.79299 631.54 467.833
  13 6.32165 614.62 457.489
  14 8.85032 633 452.615
  15 11.379 601.73 460.181
  16 13.9076 609.11 453.707
  17 16.4363 615.07 446.526
  18 18.965 624.93 444.573
  19 21.4936 637.09 441.041
  20 24.0223 611.06 435.553
7000 20 12312
  1 -24.0223 634.6 428.696
  2 -21.4936 623.23 440.474
  3 -18.965 639.43 440.107
  4 -16.4363 618.17 436.794
  5 -13.9076 594.23 435.326
  6 -11.379 618.79 436.774
  7 -8.85032 630.57 449.069
  8 -6.32165 593.45 455.875
  9 -3.79299 595.21 468.723
  10 -1.26433 609.54 475.134
  11 1.26433 585.35 483.194
  12 3.79299 627.01 471.653
  13 6.32165 603.26 462.297
  14 8.85032 638.36 460.787
  15 11.379 605.91 460.204
  16 13.9076 606.01 456.437
  17 16.4363 632.66 447.826
  18 18.965 609.94 440.575
  19 21.4936 644.06 436.589
  20 24.0223 602.22 435.267
8000 20 12312.000000000002
  1 -24.0223 633.73 433.086
  2 -21.4936 624.82 436.216
  3 -18.965 643.77 440.57
  4 -16.4363 631.55 441.394
  5 -13.9076 604.1 442.603
  6 -11.379 632.49 435.388
  7 -8.85032 626.28 442.957
  8 -6.32165 576.47 462.341
  9 -3.79299 597.92 481.461
  10 -1.26433 591.03 482.635
  11 1.26433 589.05 482.809
  12 3.79299 651.84 472.333
  13 6.32165 590.88 459.787
  14 8.85032 621.51 455.772
  15 11.379 595.16 453.217
  16 13.9076 626.81 461.555
  17 16.4363 621.16 454.007
  18 18.965 618.54 437.135
  19 21.4936 634.54 441.411
  20 24.0223 600.35 437.284
9000 20 12312
  1 -24.0223 636.74 436.352
  2 -21.4936 615.68 429.263
  3 -18.965 645.56 430.739
  4 -16.4363 634.54 433.341
  5 -13.9076 603.71 445.754
  6 -11.379 624.45 435.173
  7 -8.85032 613.71 437.328
  8 -6.32165 601.07 458.941
  9 -3.79299 583.09 470.767
  10 -1.26433 587.06 478.549
  11 1.26433 584.62 482.12
  12 3.79299 630.69 476.828
  13 6.32165 577.73 464.377
