# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12312
  1 -22.8873 624.1 431.163
  2 -20.4781 595.69 429.385
  3 -18.0689 628.26 433.63
  4 -15.6597 610.69 450.129
  5 -13.2505 632.82 453.553
  6 -10.8414 607.82 458.44
  7 -8.43217 631.62 462.159
  8 -6.02298 585.5 455.356
  9 -3.61379 615.04 460.793
  10 -1.2046 627.81 458.05
  11 1.2046 617.47 467.968
  12 3.61379 570.13 463.488
  13 6.02298 614.29 454.35
  14 8.43217 633.49 461.583
  15 10.8414 638.33 456.232
  16 13.2505 586.13 447.161
  17 15.6597 664.58 437.382
  18 18.0689 603.06 437.38
  19 20.4781 601.6 440.854
  20 22.8873 623.57 442.034
  21 25.2965 0 0
2000 21 12312.000000000002
  1 -22.8873 623.95 436.197
  2 -20.4781 607.11 435.713
  3 -18.0689 621.59 434.531
  4 -15.6597 616.56 447.257
  5 -13.2505 636.42 453.291
  6 -10.8414 598.16 453.404
  7 -8.43217 611.56 461.166
  8 -6.02298 598.64 464.358
  9 -3.61379 590.28 463.617
  10 -1.2046 644.43 452.48
  11 1.2046 605.03 470.512
  12 3.61379 592.53 464.014
  13 6.02298 617.43 447.079
  14 8.43217 647.96 450.209
  15 10.8414 613.08 449.774
  16 13.2505 607.33 447.618
  17 15.6597 657.23 440.005
  18 18.0689 605.7 435.446
  19 20.4781 594 434.757
  20 22.8873 623.01 442.274
  21 25.2965 0 0
3000 21 12311.999999999996
  1 -22.8873 610.86 435.083
  2 -20.4781 607.61 434.832
  3 -18.0689 616.89 427.537
  4 -15.6597 632.93 440.329
  5 -13.2505 620.25 449.654
  6 -10.8414 594.1 453.22
  7 -8.43217 627.38 457.809
  8 -6.02298 602.12 460.994
  9 -3.61379 583.98 462.838
  10 -1.2046 648.15 454.183
  11 1.2046 587.17 465.232
  12 3.61379 591.6 468.846
  13 6.02298 611.27 464.227
  14 8.43217 644.05 458.984
  15 10.8414 600.72 453.122
  16 13.2505 623.92 448.768
  17 15.6597 652.56 436.926
  18 18.0689 606.06 430.055
  19 20.4781 595.56 443.965
  20 22.8873 654.82 437.711
  21 25.2965 0 0
4000 21 12312
  1 -22.8873 615.63 440.2
  2 -20.4781 606.5 436.792
  3 -18.0689 618.66 432.834
  4 -15.6597 635.78 432.828
  5 -13.2505 608.41 454.102
  6 -10.8414 592.45 451.391
  7 -8.43217 633.53 459.778
  8 -6.02298 601.98 455.726
  9 -3.61379 595.51 460.749
  10 -1.2046 644.55 458.848
  11 1.2046 601.39 466.647
  12 3.61379 591.53 469.165
  13 6.02298 595.56 458.742
  14 8.43217 633.73 458.556
  15 10.8414 617.54 458.561
  16 13.2505 618.69 451.882
  17 15.6597 632.97 442.697
  18 18.0689 623.92 440.776
  19 20.4781 581.72 443.224
  20 22.8873 661.95 438.954
  21 25.2965 0 0
5000 21 12311.999999999998
  1 -22.8873 618.63 434.377
  2 -20.4781 612.18 433.107
  3 -18.0689 596.24 427.49
  4 -15.6597 643.46 447.649
  5 -13.2505 623.74 451.773
  6 -10.8414 603.39 460.32
  7 -8.43217 619.01 454.901
  8 -6.02298 605.83 456.199
  9 -3.61379 577.59 462.269
  10 -1.2046 630.53 458.91
  11 1.2046 612.48 473.267
  12 3.61379 589.2 466.943
  13 6.02298 600.72 457.459
  14 8.43217 644.71 457.625
  15 10.8414 627.52 457.351
  16 13.2505 609.46 455.403
  17 15.6597 646.56 442.453
  18 18.0689 613.53 439.85
  19 20.4781 588.58 448.114
  20 22.8873 648.64 437.926
  21 25.2965 0 0
6000 21 12312.000000000002
  1 -22.8873 601.62 432.783
  2 -20.4781 599.8 431.688
  3 -18.0689 612.16 441.545
  4 -15.6597 626.4 446.345
  5 -13.2505 618.22 447.116
  6 -10.8414 622.1 450.492
  7 -8.43217 612.57 457.232
  8 -6.02298 635.48 456.523
  9 -3.61379 576.65 462.075
  10 -1.2046 634.95 458.715
  11 1.2046 613.72 470.006
  12 3.61379 593.77 477.691
  13 6.02298 614.73 463.152
  14 8.43217 610.6 458.26
  15 10.8414 638.78 456.244
  16 13.2505 612.21 455.898
  17 15.6597 653.39 443.605
  18 18.0689 619.52 440.951
  19 20.4781 588 434.223
  20 22.8873 627.33 440.847
  21 25.2965 0 0
7000 21 12311.999999999998
  1 -22.8873 595.33 436.446
  2 -20.4781 584.53 434.181
  3 -18.0689 594.79 434.58
  4 -15.6597 619 442.684
  5 -13.2505 614.72 438.237
  6 -10.8414 599.6 453.859
  7 -8.43217 628.01 459.315
  8 -6.02298 618.76 451.109
  9 -3.61379 602.71 467.308
  10 -1.2046 625.42 463.026
  11 1.2046 620.21 473.52
  12 3.61379 603.07 467.654
  13 6.02298 584.73 455.048
  14 8.43217 645.65 457.053
  15 10.8414 642.08 463.425
