# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  1 19.1038 1058.91 361.332
  2 21.5565 1039.4 378.25
  3 24.0091 307.56 388.285
  4 26.4617 1005.11 444.329
  5 28.9143 334.82 457.511
  6 31.367 714.69 468.052
  7 33.8196 459.76 478.161
  8 36.2722 646.26 488.691
  9 38.7249 514 511.974
  10 41.1775 573.55 537.512
  11 43.6301 566.34 530.913
  12 46.0827 547.56 511.805
  13 48.5354 551.39 507.426
  14 50.988 534.22 482.905
  15 53.4406 598.18 475.422
  16 55.8933 445.02 452.493
  17 58.3459 740.36 447.417
  18 60.7985 358.31 438.211
  19 63.2511 1031.83 422.742
  20 65.7038 284.73 362.283
2000 20 12311.999999999998
  1 19.1038 1101.1 357.525
  2 21.5565 1043.5 375.395
  3 24.0091 316.17 394.959
  4 26.4617 1003.6 437.279
  5 28.9143 340.7 447.611
  6 31.367 726.42 462.858
  7 33.8196 461.65 476.595
  8 36.2722 643.15 490.434
  9 38.7249 503.94 512.043
  10 41.1775 578.33 526.48
  11 43.6301 564.36 535.817
  12 46.0827 569.32 519.682
  13 48.5354 557.12 487.717
  14 50.988 514.08 468.428
  15 53.4406 604.5 467.691
  16 55.8933 450.11 462.802
  17 58.3459 735.43 450.916
  18 60.7985 322.46 428.394
  19 63.2511 1060.3 418.47
  20 65.7038 215.76 360.137
3000 20 12312.000000000002
  1 19.1038 1043.24 359.504
  2 21.5565 1008.38 383.024
  3 24.0091 310.68 387.702
  4 26.4617 994.21 430.58
  5 28.9143 348.16 443.578
  6 31.367 713.87 460.529
  7 33.8196 448.81 491.901
  8 36.2722 641.56 498.915
  9 38.7249 523.29 515.391
  10 41.1775 574.47 521.405
  11 43.6301 550.09 534.654
  12 46.0827 562.55 518.158
  13 48.5354 546.81 493.49
  14 50.988 522.34 470.499
  15 53.4406 635.87 466.582
  16 55.8933 421.26 455.897
  17 58.3459 750.29 454.033
  18 60.7985 363.83 433.66
  19 63.2511 1026.35 418.375
  20 65.7038 325.94 358.757
4000 20 12312
  1 19.1038 1042.19 357.715
  2 21.5565 996.98 380.905
  3 24.0091 278.92 389.412
  4 26.4617 994.81 424.791
  5 28.9143 343.82 439.293
  6 31.367 707.78 474.944
  7 33.8196 436.23 483.215
  8 36.2722 641.49 504.564
  9 38.7249 519.7 514.103
  10 41.1775 583.84 515.509
  11 43.6301 555.49 520.059
  12 46.0827 560.09 515.799
  13 48.5354 547.71 493.147
  14 50.988 512.01 482.086
  15 53.4406 651.94 466.456
  16 55.8933 445.97 463.354
  17 58.3459 742.88 453.237
  18 60.7985 347.76 438.915
  19 63.2511 1025.46 418.011
  20 65.7038 376.93 358.037
5000 20 12312.000000000002
  1 19.1038 1023.39 357.844
  2 21.5565 995.38 386.14
  3 24.0091 295.48 402.004
  4 26.4617 995.95 427.029
  5 28.9143 342.69 455.984
  6 31.367 724 474.223
  7 33.8196 428.11 489.291
  8 36.2722 615.68 505.043
  9 38.7249 518.96 511.191
  10 41.1775 584.4 520.502
  11 43.6301 565.2 524.625
  12 46.0827 537.48 510.936
  13 48.5354 561.66 496.103
  14 50.988 520.69 473.864
